Наименование способа доставки  , Номер заказа, Дата создания заказа, Условия, Продажи руб, ASP  , UPT
Курьер: стандартная доставка   ,     10451067, 10/1/2022           , old    , 3 198      , 1 599, "  2,0   "
Курьер: стандартная доставка   ,     10451095, 10/1/2022           , old    , 2 437      , 812  , "  3,0   "
Курьер: стандартная доставка   ,     10451097, 10/1/2022           , old    , 3 198      , 1 599, "  2,0   "
Курьер: стандартная доставка   ,     10451115, 10/1/2022           , old    , 3 172      , 1 057, "  3,0   "
Курьер: стандартная доставка   ,     10451145, 10/1/2022           , old    , 998        , 499  , "  2,0   "
Курьер: стандартная доставка   ,     10451174, 10/1/2022           , old    , 4 847      , 1 616, "  3,0   "
Курьер: стандартная доставка   ,     10451176, 10/1/2022           , old    , 3 738      , 1 869, "  2,0   "
Курьер: стандартная доставка   ,     10451187, 10/1/2022           , old    , 2 875      , 575  , "  5,0   "
Курьер: стандартная доставка   ,     10451196, 10/1/2022           , old    , 4 997      , 1 666, "  3,0   "
Курьер: стандартная доставка   ,     10451234, 10/1/2022           , old    , 3 016      , 754  , "  4,0   "
Курьер: стандартная доставка   ,     10451241, 10/1/2022           , old    , 7 797      , 2 599, "  3,0   "
Курьер: стандартная доставка   ,     10451245, 10/1/2022           , old    , 2 197      , 732  , "  3,0   "
Курьер: стандартная доставка   ,     10451251, 10/1/2022           , old    , 798        , 399  , "  2,0   "
Курьер: стандартная доставка   ,     10451253, 10/1/2022           , old    , 1 638      , 819  , "  2,0   "
Курьер: стандартная доставка   ,     10451262, 10/1/2022           , old    , 1 956      , 489  , "  4,0   "
Курьер: стандартная доставка   ,     10451279, 10/1/2022           , old    , 2 198      , 1 099, "  2,0   "
Курьер: стандартная доставка   ,     10451281, 10/1/2022           , old    , 998        , 499  , "  2,0   "
Курьер: стандартная доставка   ,     10451288, 10/1/2022           , old    , 2 497      , 832  , "  3,0   "
Курьер: стандартная доставка   ,     10451288, 10/1/2022           , old    , 2 497      , 832  , "  3,0   "
Курьер: стандартная доставка   ,     10451289, 10/1/2022           , old    , 4 505      , 901  , "  5,0   "
Курьер: стандартная доставка   ,     10451289, 10/1/2022           , old    , 3 072      , 1 024, "  3,0   "
Курьер: стандартная доставка   ,     10451308, 10/1/2022           , old    , 4 198      , 2 099, "  2,0   "
Курьер: стандартная доставка   ,     10451319, 10/1/2022           , old    , 3 200      , 1 600, "  2,0   "
Курьер: стандартная доставка   ,     10451327, 10/1/2022           , old    , 2 895      , 579  , "  5,0   "
Курьер: стандартная доставка   ,     10451328, 10/1/2022           , old    , 1 198      , 599  , "  2,0   "
Курьер: стандартная доставка   ,     10451329, 10/1/2022           , old    , 1 397      , 466  , "  3,0   "
Курьер: стандартная доставка   ,     10451337, 10/1/2022           , old    , 1 296      , 324  , "  4,0   "
Курьер: стандартная доставка   ,     10451341, 10/1/2022           , old    , 3 198      , 1 599, "  2,0   "
Курьер: стандартная доставка   ,     10451359, 10/1/2022           , old    , 2 198      , 1 099, "  2,0   "
Курьер: стандартная доставка   ,     10451368, 10/1/2022           , old    , 3 044      , 507  , "  6,0   "
Курьер: стандартная доставка   ,     10451378, 10/1/2022           , old    , 698        , 349  , "  2,0   "
Курьер: стандартная доставка   ,     10451387, 10/1/2022           , old    , 3 143      , 349  , "  9,0   "
Курьер: стандартная доставка   ,     10451388, 10/1/2022           , old    , 4 869      , 487  , "  10,0   "
Курьер: стандартная доставка   ,     10451408, 10/1/2022           , old    , 2 245      , 449  , "  5,0   "
Курьер: стандартная доставка   ,     10451449, 10/1/2022           , old    , 9 592      , 1 199, "  8,0   "
Курьер: стандартная доставка   ,     10451459, 10/1/2022           , old    , 4 315      , 863  , "  5,0   "
Курьер: стандартная доставка   ,     10451467, 10/1/2022           , old    , 3 199      , 3 199, "  1,0   "
самовывоз PickPoint            ,     10451036, 10/1/2022           , old    , 598        , 299  , "  2,0   "
самовывоз PickPoint            ,     10451065, 10/1/2022           , old    , 3 079      , 3 079, "  1,0   "
самовывоз PickPoint            ,     10451095, 10/1/2022           , old    , 2 633      , 1 317, "  2,0   "
самовывоз PickPoint            ,     10451165, 10/1/2022           , old    , 2 797      , 932  , "  3,0   "
самовывоз PickPoint            ,     10451175, 10/1/2022           , old    , 658        , 329  , "  2,0   "
самовывоз PickPoint            ,     10451195, 10/1/2022           , old    , 3 519      , 3 519, "  1,0   "
самовывоз PickPoint            ,     10451250, 10/1/2022           , old    , 1 757      , 586  , "  3,0   "
самовывоз PickPoint            ,     10451272, 10/1/2022           , old    , 1 957      , 652  , "  3,0   "
самовывоз PickPoint            ,     10451318, 10/1/2022           , old    , 3 671      , 408  , "  9,0   "
самовывоз PickPoint            ,     10451329, 10/1/2022           , old    , 2 399      , 2 399, "  1,0   "
самовывоз PickPoint            ,     10451340, 10/1/2022           , old    , 1 092      , 364  , "  3,0   "
самовывоз PickPoint            ,     10451357, 10/1/2022           , old    , 2 597      , 866  , "  3,0   "
самовывоз PickPoint            ,     10451410, 10/1/2022           , old    , 2 399      , 2 399, "  1,0   "
самовывоз PickPoint            ,     10451429, 10/1/2022           , old    , 2 158      , 1 079, "  2,0   "
самовывоз PickPoint            ,     10451439, 10/1/2022           , old    , 1 856      , 309  , "  6,0   "
Самовывоз из пункта выдачи     ,     10451027, 10/1/2022           , old    , 4 398      , 2 199, "  2,0   "
Самовывоз из пункта выдачи     ,     10451055, 10/1/2022           , old    , 1 158      , 579  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451055, 10/1/2022           , old    , 4 065      , 2 033, "  2,0   "
Самовывоз из пункта выдачи     ,     10451056, 10/1/2022           , old    , 758        , 379  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451063, 10/1/2022           , old    , 3 628      , 1 814, "  2,0   "
Самовывоз из пункта выдачи     ,     10451064, 10/1/2022           , old    , 2 126      , 532  , "  4,0   "
Самовывоз из пункта выдачи     ,     10451065, 10/1/2022           , old    , 2 248      , 562  , "  4,0   "
Самовывоз из пункта выдачи     ,     10451126, 10/1/2022           , old    , 3 199      , 3 199, "  1,0   "
Самовывоз из пункта выдачи     ,     10451126, 10/1/2022           , old    , 1 058      , 529  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451127, 10/1/2022           , old    , 6 195      , 1 239, "  5,0   "
Самовывоз из пункта выдачи     ,     10451135, 10/1/2022           , old    , 1 757      , 586  , "  3,0   "
